date_index,city,population,season,fever_medicine_sales,cough_medicine_sales,diarrhea_medicine_sales,antibiotic_sales,painkiller_sales,antiviral_sales,outbreak_label
0,Bangalore,18469,2,19,11,39,11,31,4,0
1,Bangalore,317311,3,13,21,8,14,23,4,0
2,Chennai,265938,0,20,30,14,11,19,5,0
3,Bangalore,222810,2,20,6,32,7,26,3,0
4,Kolkata,292072,2,21,14,30,8,23,5,0
5,Bangalore,217593,3,14,21,13,15,23,5,0
6,Kolkata,311743,0,23,30,13,9,22,2,0
7,Bangalore,419991,0,11,28,10,12,23,10,0
8,Kolkata,338648,2,22,13,31,13,32,5,0
9,Bangalore,479134,1,20,16,11,11,23,3,0
10,Bangalore,80687,2,28,10,27,19,17,6,0
11,Mumbai,430020,2,23,10,32,13,27,4,0
12,Kolkata,381266,2,13,7,34,13,18,10,0
13,Kolkata,173331,2,146,19,31,9,67,3,1
14,Kolkata,266797,3,16,18,7,8,21,5,0
15,Delhi,96284,0,17,35,7,7,19,4,0
16,Bangalore,95227,3,20,20,14,9,28,11,0
17,Kolkata,107556,3,12,17,6,8,25,5,0
18,Delhi,53560,3,17,11,6,18,35,5,0
19,Mumbai,299400,2,23,15,33,12,26,1,0
20,Kolkata,16125,1,18,16,14,9,36,6,0
21,Kolkata,14370,0,15,30,12,7,28,4,0
22,Delhi,14838,1,25,14,10,10,30,4,0
23,Bangalore,124479,3,22,18,4,15,20,9,0
24,Mumbai,67429,3,18,10,12,10,16,3,0
25,Kolkata,406350,1,26,18,7,13,25,3,0
26,Bangalore,252067,1,19,10,7,16,21,3,0
27,Mumbai,53199,1,15,15,12,12,21,5,0
28,Chennai,87092,3,24,6,4,13,26,5,0
29,Chennai,397069,3,21,17,9,13,24,5,0
30,Mumbai,174894,0,27,35,3,14,19,5,0
31,Delhi,234585,0,13,24,6,11,32,4,0
32,Mumbai,292257,3,18,20,14,10,24,3,0
33,Mumbai,204666,1,15,14,12,11,19,4,0
34,Delhi,106102,1,20,10,10,10,17,2,0
35,Delhi,274813,0,18,33,7,7,28,1,0
36,Bangalore,190499,3,19,14,8,11,28,4,0
37,Bangalore,484833,0,56,29,17,57,22,5,1
38,Delhi,154010,0,15,29,6,13,21,5,0
39,Chennai,408933,2,27,14,26,12,23,4,0
40,Chennai,349962,2,27,14,21,9,23,10,0
41,Mumbai,450875,2,7,13,30,12,28,11,0
42,Kolkata,205647,1,21,15,16,7,23,5,0
43,Mumbai,89737,3,24,17,11,6,21,8,0
44,Mumbai,419505,3,30,14,8,16,26,5,0
45,Kolkata,34406,3,30,13,14,16,25,6,0
46,Delhi,237894,3,17,15,9,13,40,5,0
47,Chennai,22873,2,17,16,21,10,29,5,0
48,Mumbai,135812,1,21,21,17,10,31,4,0
49,Kolkata,354192,1,24,21,5,13,25,4,0
50,Bangalore,497679,2,22,16,32,17,23,5,0
51,Mumbai,33461,1,20,18,6,13,34,5,0
52,Chennai,423926,2,24,20,27,16,24,5,0
53,Delhi,488704,3,25,9,11,9,28,3,0
54,Mumbai,23448,2,14,18,36,18,24,4,0
55,Mumbai,25198,3,22,16,8,22,32,4,0
56,Kolkata,83158,3,16,13,6,11,24,7,0
